,arabic,english
87,عندي مشكلة.,I have a problem.
88,هناك عوامل كثيرة.,There are many factors.
89,قابلتها في الشارع.,I met her on the street.
90,أيمكنك رؤية الفرق؟,Can you see the difference?
91,أيمكنك ملاحظة الفرق؟,Can you see the difference?
92,المهم هو العمل.,What's important is work.
93,أنت لست صديقنا.,You are not our friend.
94,الدلفين نوع من الثدييات.,A dolphin is a kind of mammal.
95,عاد السفير.,The ambassador returned.
96,صفق الجمهور للممثلة.,The audience applauded the actress.
97,لا أعرف شيئاً.,I don't know anything.
98,رفع يده.,He raised his hand.
99,ضحك الطلاب.,The students laughed.
100,لا تلمس البضاعة.,Don't touch the goods.
101,الأولاد نائمون.,The kids are asleep.
102,سأشتري سيارة.,I will buy a car.
103,من فضلك إتّصل بي لاحقاً.,Please call me up later.
104,هنا موقع الحادث.,This is where the accident happened.
105,سررت بلقائك.,It was very nice seeing you again.
106,تنافس عشر فرق على الجائزة.,Ten teams competed for the prize.
107,أعرّفك بصديقي.,May I introduce my friend to you?
108,مبيعات السيارات اليابانية في الخارج جيدة.,Japanese cars sell well overseas.
109,أصبح بوب مهندساً.,Bob became an engineer.
110,أعتقد أن شكسبير أعظم كاتب دراما في التاريخ.,I believe Shakespeare is the greatest dramatist that ever lived.
111,حضر اللقاء عدد من أصحاب الإختصاص.,A number of experts attended the meeting.
112,ترك الباب مفتوحاً.,He left the door open.
113,أعطني انطباعك عن هذا الكتاب.,Give me your impression of this book.
114,لنكمل حديثنا.,Let's carry on the discussion.
115,أحقا مات أبي؟,Did my father really die?
116,يا لها من جملة!,What a sentence!
117,هو ولد مشاغب.,He is a naughty boy.
118,درّسني التاريخ.,He taught me history.
119,هذا المنتزه يذكّرني بطفولتي.,This park reminds me of my childhood.
120,هذا المنتزه جميل و نظيف حقاً.,This park is really beautiful and clean.
121,كاد الولد أن يغرق.,The boy was almost drowned.
122,شك المحامي في براءته.,The lawyer doubted his innocence.
123,نصحها الطبيب بأخذ إجازة.,The doctor advised that she take a holiday.
124,سامحني من فضلك.,Please forgive me.
125,لا أحب أن أطبخ عندما يكون الجو حارّاً.,I don't like to cook when it's hot outside.
126,من ارتكب هذه الجريمة حتماً فقد عقله.,That man who committed that crime was out of his mind.
127,من ارتكب هذه الجريمة حتماً فقد عقله.,Whoever committed this crime was surely out of his mind.
128,علمتني عمتي كيف أحضّر قهوةً لذيذة.,My aunt showed me how to make good coffee.
129,هذا بيت و ذلك مسجد.,This is a house and that is a mosque.
130,الباب مفتوح.,The door is open.
131,القلم مكسور.,The pen is broken.
132,أين الولد؟,Where is the boy?
133,ذهب بلال إلى المدرسة.,Bilal went to school.
134,لمن هذا؟,Whose is this?
135,هذا جميل ، و ذلك أيضاً جميل.,"This is beautiful, and that is also beautiful."
136,فوزنا مؤكّد.,Our victory is secure.
137,وافق المدرس على خطته.,The teacher approved his plan.
138,قام بالعمل كما طُلب.,He accomplished the work as planned.
139,سررت بمعرفتك.,I'm pleased to meet you.
140,تشرّفت بلقائك.,I'm pleased to meet you.
141,كيف حالك؟,How are you doing?
142,كيف حالك؟,How are you?
143,بدأت صحته تتدهور.,His health has begun to decline.
144,أين ذهب؟,Where did he go?
145,لا تفتح الباب.,Don't open the door.
146,زُرِعَت الأشجار بجانب الطريق.,Trees are planted along the street.
147,كان رجلاً سابقاً لعصره.,He was far in advance of his days.
148,ها قد أتى الباص.,There comes the bus.
149,هذا الكتاب لعلي.,This book is Ali's.
150,كرم مدرس جديد.,Karam is a new teacher.
151,المدرس الجديد في الفصل.,The new teacher is in the class.
152,أنا في بيت جديد.,I am in a new house.
153,السيارة التي أمامي لكرم.,The car that's in front of me is Karam's.
154,المدرس عند المدير.,The teacher is with the school principal.
155,أذهبت إلى المدرسة اليوم؟,Did you go to school today?
156,من في البيت؟,Who is in the house?
157,أحب اللّغة العربية.,I love Arabic.
158,ماذا تحب؟,What do you like?
159,ماذا تحب أن تأكل؟,What do you like to eat?
160,سعة الخزان خمسون جالوناً.,The tank has a capacity of fifty-gallons.
161,سأساعده غداً.,I will help him tomorrow.
162,أعد الكتاب إلى صاحبه.,Give the book back to the owner.
163,الفتاة تشعر بالوحدة.,The girl is lonely.
164,كنّا نسبح في النهر.,We used to swim in this river a lot.
165,قررت أن أعمل لحساب شركة في الولايات المتحدة.,I've made up my mind to work for a company in the States.
166,قررت أن أعمل لحساب شركة في أمريكا.,I've made up my mind to work for a company in the States.
167,جون في عمر أخي.,John is as old as my brother.
168,هذا ما نريد أن نعرفه.,This is what we want to know.
169,من فضلك إلغِ هذا الملفّ.,Please delete this file.
170,من أين أنت؟,Where do you come from?
171,من أين أنت؟,Where are you from?
172,من أي بلد أنت؟,Which country are you from?
173,من أي بلد أنت؟,Where are you from?
174,أين بيتك؟,Where is your house?
175,أين تسكن؟,Where do you live?
176,ما عنوانك؟,What is your address?
177,الطالبة التي جلست أمام المدرّسة من ألمانيا.,The female student that sat in front of the teacher is from Germany.
178,بعضهم مدرّسون ، وبعضهم مهندسون.,"Some of them are teachers, and some are engineers."
179,هم إخوتي.,They are my brothers.
180,هنّ أخواتي.,They are my sisters.
181,أيّ طالب خرج؟,Which student went out?
182,من هذان الولدان؟,Who are these two boys?
183,كم كتاباً قرأت؟,How many books did you read?
184,هما في الغرفة.,They are both in the room.
185,كم قلماً عندك؟,How many pens do you have?
186,رأيت خمسة رجال.,I saw five men.
187,لديّ عشرة أقلام.,I have ten pens.
188,حملت ثلاثة كتب.,I carried three books.
189,مررت بأربعة بيوت.,I passed by four houses.
190,لي أخت واحدة.,I have one sister.
191,يبدو أن العصافة هدأت.,It appears the storm has calmed down.
192,علينا أن نهتمّ بالمحافظة على تراثنا الوطني.,We must all take care to preserve our national heritage.
193,لديها خمس إخوة أكبر منها.,She has five older brothers.
194,لديها خمسة إخوان كبار.,She has five older brothers.
195,صوتها ناعم و واضح.,She has a soft and clear voice.
196,قلّده و حسب.,Just imitate what he does.
197,خرجت العائلة كلّها لتتمشّى.,The whole family is out for a walk.
198,لا أشكّ لحظة في صدقك.,I don't for a moment doubt your honesty.
199,إنّ الكتابَ سهلٌ.,The book is easy.
200,الكتابُ سهلٌ.,The book is easy.
201,لعلّ الجوّ جميل.,Perhaps the weather is fine.
202,إنّك غنيّ.,You are rich.
203,أنت غنيّ.,You are rich.
204,بلال ذو علم.,Bilal is a person of knowledge.
205,بلال ذو علم.,Bilal is educated.
206,مريم ذات خلق.,Maryam is a person of good manners.
207,مريم ذات خلق.,Maryam is well behaved.
208,أمدرّس أنت أم طالب؟,Are you a teacher or a student?
209,أإلى القاهرة ذهبت أم إلى الاسكندرية؟,Did you go to Cairo or Alexandria?
210,خذ هذا أو ذاك.,Take this or that.
211,ليس البيت بجديد.,This house is not new.
212,ما زالت تعتمد على والديها.,She still depends on her parents.
213,جريدة اليوم تحذّر من قدوم عاصفة.,Today's paper says that a typhoon is coming.
214,من فضلك أرني إياها مرة أخرى.,Please show it to me again.
215,مات لنكولن في عام ١٨٦٥ للميلاد.,Lincoln died in 1865.
216,هذه المسألة سهلة لدرجة أن أيّ طالب يمكنه حلّها.,This is such an easy problem that any student can solve it.
217,الرياضيات مادّتي المفضّلة.,Mathematics is my favorite subject.
218,أدخله.,Bring him in.
219,أهو أمريكي؟,Is he American?
220,دعني أساعدك.,Let me help you.
221,اليوم ممطر.,It's a rainy day.
222,من فضلك أعطني قلماً و بضعة أوراق.,Please give me a pencil and some sheets of paper.
223,كيف لي أن أعرف؟,How should I know?
224,رأيت رجلاً يتّجه نحوي.,I saw a man coming toward me.
225,أعرف كم عمرك.,I know how old you are.
226,أنتم معلّمون.,You are teachers.
227,أنتم مدرّسون.,You are teachers.
228,كنّا كلّنا متعبون.,We were all tired.
229,لنواجه الحقائق.,Let's face the facts!
230,بدأ يشعر بالمرض.,He began to feel ill.
231,أبي مدرّس.,My father is a teacher.
232,أبي لا يقرأ كتاباً الآن.,My father isn't reading a book now.
233,البيت مسكون.,The house is haunted.
234,البيت مسكون بالأشباح.,The house is haunted.
235,ماذا تظن نفسك فاعلاً؟,What do you think you're doing?
236,ابق مكانك.,Stay where you are.
237,أقدّر شجاعته.,I admire his courage.
238,عليك أن تطيع والديك.,You should obey your parents.
239,قفز من النافذة.,He jumped out the window.
240,أيمكنني أن أدخّن هنا؟,May I smoke here?
241,لدينا أخبار جيدة.,We have good news.
242,يمكنك استعارة هذا الكتاب بشرط أن تبقيه نظيفاً.,You may borrow this book as long as you keep it clean.
243,يمكنك استعارة الكتاب بشرط أن تحافظ عليه.,You may borrow this book as long as you keep it clean.
244,إنه دورك.,It's your turn.
245,لست من الهند.,I am not from India.
246,بلال أطْوَلُ من كرم.,Bilal is taller than Karam.
247,أنت أحْسَنُ منّي.,You are better than me.
248,كرم أحسن طالب في المدرسة.,Karam is the best student in the whole school.
249,كأنّك من الهند.,It looks like you are from India.
250,كأنّ هذه السيارة له.,It looks like this car is his.
251,ستتزوّج برجل ثريّ.,She will get married to a rich man.
252,يمكن معالجة السرطان إذا اِكْتُشِفَ في مرحلة مبكّرة.,Cancer can be cured easily if it is found in its first phase.
253,الجميع يحبون الموسيقى.,Everybody loves music.
254,ماذا حدث بالأمس؟,What happened last night?
255,ما الذي حصل البارحة؟,What happened last night?
256,بقي القليل من الحليب في الزجاجة.,There is little milk left in the bottle.
257,استطاع أن يبني بيتاً صغيراً.,He was able to build a small house.
258,فاطمة أكبر طالبة في فصلنا.,Fatima is the eldest student in our class.
259,استلم الجائزة أحد عشر طالباً.,Eleven students received the award.
260,منذ ١٩٩۰م و حتّى الآن ، استلم الجائزة إحدى عشرة طالبةً.,"Since 1990, eleven female students received the award."
261,لا تصرخ في وجهي.,Don't yell at me.
262,اِغسل رجليك.,Wash your feet.
263,لم يكن لديّ وقت للأكل.,I had no time to eat.
264,اشترى لنا عمّي جهاز تلفاز جديد.,My uncle brought a new TV set for us.
265,أيمكنك أن تعلّمني كيف أستخدم الغسّالة؟,Could you tell me how to use this washing machine?
266,كم من الوقت يلزم للوصول إلى المحطّة.,How long does it take to get to the station?
267,زرت أمريكا.,I have visited America.
268,جلسوا تحت ظل شجرة.,They sat in the shade of a tree.
269,هل الحمّام جاهز؟,Is the bath ready?
270,أنا حُرّ.,I'm free.
271,نسيت أن أسأله.,I forgot to ask him.
272,أصبحا زوجاً و زوجة.,They became man and wife.
273,سيأتي الربيع قريباً.,Spring will come soon.
274,هل غاب أحد اليوم؟,Is anyone absent today?
275,أتوقّع أن يصل قريباً.,I expect him to come soon.
276,إذا ابتسم المهزوم أفقد المنتصر لذة الفوز.,If the loser smiled the winner will lose the thrill of victory.
277,كلنا كالقمر ، لنا جانب مظلم لا نظهره لأحد.,"Everyone is a moon, and has a dark side which he never shows to anybody."
278,لا تتحدى من ليس لديه ما يخسره.,Don't challenge someone who has nothing to lose.
279,جاء الطالب من لندن.,The student came back from London.
280,الولد عطشان.,The boy is thirsty.
281,أُنْشِئَتْ مدارس.,Schools were built.
282,هذه عصافير.,These are birds.
283,سلّمت على التلميذ الأسبق.,I shook hands with the former student.
284,لا تجادل وانت غضبان ولا تأكل وانت شبعان.,Don't argue when you are angry and don't eat when you are full.
285,هاتان صورتان جميلتان.,These are two nice pictures.
286,هاتان صورتان جميلتان إطاراهُما.,These are two pictures with a nice frame.
287,هذا عمل نافع.,This is a beneficial work.
288,هذا عمل ينفع الآخرين.,This is a work that benefits others.
289,أغلق عينيك.,Close your eyes.
290,يمكنها تحدث اليابانيّة.,She can speak Japanese.
291,نظّفنا صفّنا.,We've finished cleaning our classroom.
292,أعتمد عليك.,I'm counting on you.
293,لونه أحمر.,Its color is red.
294,لونها أحمر.,Its color is red.
295,لا عجب أنّ البعض يشعرون بالتوتر عند دخولهم المستشفى.,It is no wonder that some people feel anxiety at the thought of walking into a hospital.
296,إنّها مفاجأة.,It's a surprise.
297,الجو بارد.,It's cold.
298,الجو بارد.,It is cold.
299,إنها تمطر.,It is raining.
300,إنها تمطر.,It's raining.
301,الجو ممطر.,It is raining.
302,لا تنسنا.,Don't forget about us!
303,ليس مهماً.,It's not important.
304,لا تنس التذكرة.,Don't forget the ticket.
305,لا تنس تذكرة الدخول.,Don't forget the ticket.
306,سررت بعودتك.,I'm glad to see you back.
307,سأوصلك إلى المطار.,I'll drive you to the airport.
308,أما زلت تذكر؟,Do you remember?
309,ماذا عليّ أن أحضر؟,What should I bring?
310,لنعد أدراجنا.,Let's turn back.
311,إنها ساعة متأخرة.,It's late.
312,ماذا؟,What?
313,ارجع إلى الوراء من فضلك.,"Stand back, please."
314,تنحّى جانبا إذا سمحت.,"Stand back, please."
315,أحضرها لي.,Bring it to me.
316,هناك الكثير من الفنادق في وسط المدينة.,There are many hotels downtown.
317,أتذكّر أنّي شاهدت هذا الفيلم.,I remember seeing the movie.
318,أتمنّى أن تأتي مرّة أخرى.,I do hope you'll come again.
319,لا. أنا آسف، عليّ العودة مبكراً.,"No. I'm sorry, I've got to go back early."
320,هذه التفاحة شديدة الحمرة.,This apple is very red.
321,هذه التفاحة حمراء جداً.,This apple is very red.
322,سأريك بعض الصور.,I will show you some pictures.
323,الآن تذكرت.,Now I remember.
324,آه ، متى سيتقابلون مجدداً؟,"Ah, when will they meet again?"
325,سأعاود الإتصال بك.,I'm gonna have to call you back.
326,لا تنظر إلى الوراء.,Don't look back.
327,الجو حار اليوم.,It's hot today.
328,عادة ما أغسل الصحون.,I usually do the dishes.
329,أحضر أولادك معك.,Bring your children along.
330,لا تنس أن لدينا واجباً.,Don't forget that we have homework.
331,هل تذكرني؟,Do you remember me?
332,أما زلت تذكرني؟,Do you remember me?
333,لن أعود.,I'm not going back.
334,أنا في المطار الآن.,I'm at the airport now.
335,سأعود.,I'll come back.
336,ليس هناك ما ينقص.,Nothing is missing.
337,الآباء يحبون أولادهم.,Parents love their children.
338,إنها لأخي.,It's my brother's.
339,أطفئ الضوء. لا يمكنني النوم.,Switch off the light. I can't get to sleep.
340,أشعل الضوء. لا يمكنني أن أرى شيئاً.,Switch on the light. I can't see anything.
341,أنا متأكد من أنها ستعود قريباً.,I'm sure that she will come back soon.
342,أنا متأكد من أنها ستعود قريباً.,I'm sure she will return soon.
343,أرني مثالاً آخر.,Show me another example.
344,أراك غداً في المكتبة.,See you tomorrow at the library.
345,أراك غداً عند المكتبة.,See you tomorrow at the library.
346,ستضل طريقك.,You'll get lost.
347,ستضيع.,You'll get lost.
348,هذا هو السؤال.,The question is this.
349,هذه هي المسألة.,The question is this.
350,من محاسن القاموس الإلكتروني أنه سهل الحمل.,The good thing about this electronic dictionary is that it's easy to carry.
351,عليك أن تقوم بالواجب.,You must perform your duty.
352,فبدأ الطبيب بالكشف عليها.,So the doctor started to examine her.
353,فبدأ الطبيب بمعاينتها.,So the doctor started to examine her.
354,فقدت الوعي.,I lost consciousness.
355,خسر فريقنا.,Our team lost.
356,خسر توم وظيفته.,Tom lost his job.
357,أين وُلِدَ توم؟,Where was Tom born?
358,أذكر أني سمعت قصة مشابهة.,I remember hearing a very similar story to that.
359,هذا الفندق أفضل من ذاك الفندق.,This hotel is better than that hotel.
360,متى وُلِدْت؟,When were you born?
361,أذكر أني قابلت ذلك الرجل من قبل في كامبردج.,I remember meeting that man at Cambridge before.
362,هناك صفحة ناقصة.,There is a page missing.
363,خسرنا تلك المباراة.,We lost the game.
364,لا أذكر لحن تلك الأغنية.,I can't remember the tune of that song.
365,كنت مشغولاً بكتابة قصة قصيرة.,I have been busy writing a short story.
366,لا أقدر أن أسامحه على ما فعل.,I can't forgive him for what he did.
367,متى ولدت؟,When was she born?
368,فقدت حقيبة يدها.,She lost her handbag.
369,يستطيع الدب تسلق الشجرة.,A bear can climb a tree.
370,يبدو أن السيد تناكا اجتاز الإمتحان.,It seems that Mr Tanaka has passed the exam.
371,ندمت على عدم حضوري الخطبة.,I regret missing the speech.
372,فقد الرجل الأمل كلياً.,The man lost all hope.
373,احترق الفندق.,The hotel was burned down.
374,خسروا المعركة.,They lost the battle.
375,خسروا الحرب.,They lost the battle.
376,لدي سؤال.,I have a question.
377,لم أنت مستعجل؟,Why are you in such a hurry?
378,لماذا أنت في عجلة من أمرك هكذا؟,Why are you in such a hurry?
379,من فضلك اِنسخ هذه الصفحة.,Please copy this page.
380,لن يعرف أحد.,No one will know.
381,أبقى جميع النّوافذ مفتوحة.,He kept all the windows open.
382,ضوء القمر ضعيف.,The light from the moon is weak.
383,ضوء القمر خافت.,The light from the moon is weak.
384,بنى سِياجاً حول بيته.,He built a fence around his house.
385,بنى سِياجاً خشبياً حول بيته.,He built a fence around his house.
386,هل هذه المعلومة صحيحة؟,Is this information right?
387,نصحني الطبيب بالإقلاع عن التدخين.,The doctor advised me to give up smoking.
388,ارتكبت نفس الخطأ مرّة أخرى.,She has made the same mistake as last time.
389,أهنّئك بنجاحك.,I congratulate you on your success.
390,أهنّئك بمناسبة نجاحك.,I congratulate you on your success.
391,كان الجو حاراً جداً ظهيرة اليوم.,It was very hot this afternoon.
392,اِصعدوا الباص واحداً تلو الآخر.,Get on the bus one by one.
393,لم يشجّعها أحد.,No one encouraged her.
394,لم يشجّعها أحد.,Nobody encouraged her.
395,حدث ذلك ذات ليلة.,It happened one night.
396,هذا أجمل.,This one is prettier.
397,عليّ أن أشتري واحدة.,I must buy one.
398,عدّل رئيس القسم خطّته.,The section chief altered the plan.
399,ذكر هاتوياما أنه يعيل عائلته بالمراهنة على سباق الخيل.,Hatoyama says that he supports his family by gambling on horse racing.
400,ساعدنا بعضنا.,We helped one another.
401,لديّ أخ واحد.,I have one brother.
402,لي أخ وحيد.,I have one brother.
403,فشل تلو الآخر.,One failure followed another.
404,حدث تلو الآخر.,One event followed another.
405,تفضّل خذ واحدة.,Please take one.
406,على المرء أن يستحمّ.,One should wash oneself.
407,يقيس حرارته.,Take one's temperature.
408,يبدو أن رئيس القسم يحب استغلال سلطته.,The section chief seems to like abusing his authority.
409,على المرء أن يجتهد.,One must do one's best.
410,على المرء أن يفعل كلّ ما بوسعه.,One must do one's best.
411,لم يساعدني أحد.,No one helped me.
412,لم يكن هناك أحد.,No one was present.
413,لن يأتي أحد.,No one is coming.
414,لا أحد يحب الحرب.,No one loves war.
415,لم يرسب أحد.,No one has failed.
416,كان الجو حاراً جداً عصر اليوم.,It was very hot this afternoon.
417,سألتني كم عمري.,She asked me how old I was.
418,سألتني عن عمري.,She asked me how old I was.
419,رفع قبّعته اِحتراماً.,He raised his hat in respect.
420,يعزف موسيقى.,He is playing music.
421,كل ما عليك فعله هو حفظ هذه الجملة عن ظهر قلب.,All you have to do is to learn this sentence by heart.
422,رجال و نساء قاتلوا للدفاع عن وطنهم.,Young men and women fought to defend their country.
423,خرج الأولاد من الغرفة واحداً تلو الآخر.,One by one the boys went out of the room.
424,لا يستطيع أحدٌ مساعدتي.,No one can help me.
425,لا أعرف متى سيكون هنا.,I don't know when he'll be here.
426,لديّ إحساس أني كنت هنا من قبل.,I have a feeling that I have been here before.
427,عليك أن تنظّف غرفتك.,You must clean your room.
428,نظّف غرفتك.,You must clean your room.
429,رفضت عرضه.,She turned down his proposal.
430,رفضت عرضه.,She refused his offer.
431,النتيجة واحد مقابل واحد.,The score is one all.
432,النتيجة واحد الكلّ.,The score is one all.
433,أيمكنك أن تُرِيَني ذلك؟,Can I see this one?
434,أيمكنك أن تُرِيَني ذلك؟,Could you show me that?
435,سآخذ هذا.,I'll take this one.
436,وفي يوم من الأيام ، انتحر.,One day he killed himself.
437,قابلته يوما.,One day I met him.
438,الأسود لي.,That black one is mine.
439,عد من واحد إلى عشرة.,Count from one to ten.
440,يبلغ متحدّثي اللغة الإنجليزية مليار نسمة.,One billion people speak English.
441,مليار شخص يتكلمون الإنجليزية.,One billion people speak English.
442,لحسن الحظ لم يتأذ أحد.,"Fortunately, no one was hurt."
443,درست لمدة ساعة.,I studied for one hour.
444,ذاكرت ساعة.,I studied for one hour.
445,الجو معتدل هنا.,The climate here is mild.
446,نجا من الموت بأعجوبة.,He narrowly escaped death.
447,كم تبعُد عن هنا؟,How far is it from here?
448,أريد أن أقول لك شيئاً.,I have something to tell you.
449,أريد أن أقول لك شيئاً.,I want to say something to you.
450,لا أحد يعرف اسمه.,No one knows his name.
451,لم يصدّق أحد قصّته.,No one believed his story.
452,سنكتفي بهذا الحد اليوم و نقف هنا.,Let's stop here.
453,توقف كِن عن الكلام و بدأ بالأكل.,Ken stopped talking and began to eat.
454,أحتاج مساعدتك.,I need your help.
455,أحتاج إلى مساعدتك.,I need your help.
456,أحتاج مساعدة طبية.,I need medical help.
457,هل تحتاج لمساعدة؟,May I help you?
458,!صرخت قائلة النجدة! ساعدوني.,"Help, help, she cried."
459,النجدة! ساعدني!,Help me.
460,النجدة! ساعدني!,Help! Rescue me!
461,النجدة!,Help!
462,هل لي أن أساعدك؟,Can I help you?
463,هل لي أن أساعدك؟,May I help you?
464,تفضّل البيت بيتك.,Please help yourself.
465,تفضّل المكان مكانك.,Please help yourself.
466,الى متى سنقف مكتوفى الايدى.,When will we stop sitting by and watching?
467,صرخ طالباً النجدة.,He screamed for help.
468,صرخ طالباً النجدة.,He called for help.
469,أُقَدِّر مساعدتك.,I appreciate your help.
470,نُقَدِّر مساعدتك.,We appreciate your help.
471,أيمكنك مساعدتي؟,Could you help me?
472,من فضلك ساعدني.,Could you help me?
473,من فضلك ساعدني.,Please help me.
474,مات السنة الماضية.,He died one year ago.
475,كان لديهما ولد واحد.,They had only one child.
476,رزقوا بولد وحيد.,They had only one child.
477,وقعوا واحداً تلو الآخر.,They fell one after another.
478,بدأوا واحداً تلو الآخر.,They started one after another.
479,وصلوا واحداً خلف الآخر.,They arrived one after another.
480,ماتوا واحداً تلو الآخر.,They died one after another.
481,ركّزت على شيء واحد.,She concentrated on one thing.
482,على الأصدقاء مساعدة بعضهم البعض.,Friends should help one another.
483,لم يأت أحد سوى ماري.,No one came except Mary.
484,السفر يوسع آفاق تفكير المرء.,Travel broadens one's horizons.
485,أقبل ولكن بشرط واحد.,"I accept, but only under one condition."
486,هناك تفاحة واحدة على المكتب.,There is one apple on the desk.
487,احترقت المنازل واحدة تلو الأخرى.,The houses caught fire one after another.
488,اضرب عصفورين بحجر.,To kill two birds with one stone.
489,بقيَ واحد وذهب الآخر.,One stayed and the other went away.
490,ما أسهل أن يكتسب المرء عادات سيئة!,How easily one acquires bad habits!
491,أرني شيئاً أرخص لو سمحت.,"Show me a cheaper one, please."
492,أرني شيئاً أرخص لو سمحت.,Please show me something cheaper.
493,لم يعد يثق به أحد بعد الآن.,No one trusts him any more.
494,عليك أن تساعدها.,You must help her.
495,طلبت النجدة.,I called for help.
496,هل ستساعدني؟,Will you help me?
497,من سيساعدني؟,Who will help me?
498,أحتاج إلى مساعدته.,I need his help.
499,هم يحتاجون المزيد من المساعدة.,They require extra help.
500,صرخوا طالبين النجدة.,They shouted for help.
501,أستساعدهم؟,Will you help them?
502,عليّ أن أساعده.,I must help him.
503,صرخت طالبة المساعدة.,She screamed for help.
504,تعال و ساعدنا.,Come and help us.
505,ساعدني في الطبخ.,Please help me cook.
506,من الممكن أن تمطر.,It may rain.
507,ستمطر قريباً.,It may rain soon.
508,ربما ستمطر.,It may rain.
509,ربما ستمطرُ بعدَ قليل.,It may rain soon.
